movieId,genres,average
tt0114709,Adventure|Animation|Children|Comedy|Fantasy,0.73442623
tt0113497,Adventure|Children|Fantasy,-0.200819672
tt0113228,Comedy|Romance,-0.636885246
tt0114885,Comedy|Drama|Romance,-0.96147541
tt0113041,Comedy,-0.67295082
tt0113277,Action|Crime|Thriller,-0.17295082
tt0114319,Comedy|Romance,-0.629508197
tt0112302,Adventure|Children,-0.949180328
tt0114576,Action,-0.891803279
tt0113189,Action|Adventure|Thriller,-0.02704918
tt0112346,Comedy|Drama|Romance,-0.463934426
tt0112896,Comedy|Horror,-0.893442623
tt0112453,Adventure|Animation|Children,-0.945901639
tt0113987,Drama,-0.857377049
tt0112760,Action|Adventure|Romance,-0.914754098
tt0112641,Crime|Drama,-0.337704918
tt0114388,Drama|Romance,-0.475409836
tt0113101,Comedy,-0.845901639
tt0112281,Comedy,-0.462295082
tt0113845,Action|Comedy|Crime|Drama|Thriller,-0.913934426
tt0113161,Comedy|Crime|Thriller,-0.344262295
tt0112722,Crime|Drama|Horror|Mystery|Thriller,-0.750819672
tt0112401,Action|Crime|Thriller,-0.891803279
tt0114168,Drama|Sci-Fi,-0.810655738
tt0113627,Drama|Romance,-0.423770492
tt0114057,Drama,-0.904098361
tt0114011,Children|Drama,-0.936065574
tt0114117,Drama|Romance,-0.905737705
tt0112682,Adventure|Drama|Fantasy|Mystery|Sci-Fi,-0.687704918
tt0115012,Crime|Drama,-0.980327869
tt0112792,Drama,-0.739344262
tt0114746,Mystery|Sci-Fi|Thriller,0.445901639
tt0112431,Children|Drama,-0.023770492
tt0112818,Crime|Drama,-0.468852459
tt0113442,Children|Comedy,-0.979508197
tt0112697,Comedy|Romance,-0.268032787
tt0112749,Drama,-0.982786885
tt0114279,Drama|War,-0.88442623
tt0112819,Action|Crime|Drama,-0.954098361
tt0114272,Drama,-0.945081967
tt0113855,Action|Adventure|Fantasy,-0.732786885
tt0114681,Comedy|Drama|Thriller,-0.773770492
tt0113347,Drama|Romance,-0.9
tt0114369,Mystery|Thriller,0.655737705
tt0114148,Animation|Children|Drama|Musical|Romance,-0.537704918
tt0114916,Drama|Romance,-0.993442623
tt0114814,Crime|Mystery|Thriller,0.751639344
tt0113819,Comedy|Drama|Romance,-0.795081967
tt0110299,Adventure|Drama,-0.980327869
tt0112499,Children|Comedy,-0.983606557
tt0113158,Drama,-0.991803279
tt0113321,Drama,-0.946721311
tt0110877,Comedy|Drama|Romance,-0.695081967
tt0113419,Adventure|Children|Fantasy,-0.763934426
tt0116260,Drama|Thriller,-0.953278689
tt0113862,Drama,-0.382786885
tt0116126,Comedy|Crime,-0.957377049
tt0118002,Comedy|Romance,-0.973770492
